epoch,loss_total,loss_mse,loss_physics,lambda_phy,grad_norm_mse,grad_norm_phy,rho,rmse_depth,rmse_volume,r2_depth,epoch_time_s
0,0.0015987943598692264,0.0014382428465572151,0.00016055151965432788,1.0,0.0,0.0,0.0,0.03550507873296738,0.0401979461312294,-1.2782630920410156,125.02292108535767
1,0.00058557514933791,0.0005762700269763331,9.30512209967234e-06,1.0,0.0,0.0,0.0,0.024633558467030525,0.02336081676185131,-0.09667325019836426,128.53533148765564
2,0.0005522473035316813,0.0005442187957469487,8.028508946356583e-06,1.0,0.0,0.0,0.0,0.023882068693637848,0.02276146598160267,-0.030781984329223633,128.53701996803284
3,0.0005094844430662709,0.0005041724421911627,5.312000695782256e-06,1.0,0.0,0.0,0.0,0.02275768853724003,0.02214571088552475,0.06399279832839966,128.24375915527344
4,0.0005026208690494822,0.0004970410319258455,5.5798376241088205e-06,1.0,0.0,0.0,0.0,0.02243066392838955,0.02215733379125595,0.09070014953613281,128.9926290512085
5,0.0005016011596142849,0.0004969181137568786,4.68304552419359e-06,1.0,0.0,0.0,0.0,0.02263687178492546,0.021941017359495163,0.07390451431274414,128.63216376304626
6,0.0004903599250370702,0.0004862053395236583,4.154585227591485e-06,1.0,0.0,0.0,0.0,0.022252758964896202,0.021845489740371704,0.10506677627563477,128.11535573005676
7,0.00048553155057651476,0.0004820984683393919,3.4330820939554938e-06,1.0,0.0,0.0,0.0,0.022166797891259193,0.021744653582572937,0.11196750402450562,128.063579082489
8,0.00047714589452667105,0.0004743559471491954,2.7899473230646096e-06,1.0,0.0,0.0,0.0,0.021959476172924042,0.0215984545648098,0.12850099802017212,127.62595272064209
9,0.0004746783138033183,0.00047200517214410605,2.6731419621264703e-06,1.0,0.0,0.0,0.0,0.02190629206597805,0.021543554961681366,0.1327173113822937,127.38876795768738
10,0.0004685233362269483,0.00046618825424810735,2.3350828903456685e-06,1.0,0.0,0.0,0.0,0.02175380475819111,0.02142775058746338,0.14474952220916748,128.12651324272156
11,0.00046784026670758356,0.00046556875653277195,2.2715095737150983e-06,1.0,0.0,0.0,0.0,0.021766290068626404,0.021386122331023216,0.14376747608184814,127.23323798179626
12,0.0004616046802043573,0.0004594974390247677,2.1072407088690425e-06,1.0,0.0,0.0,0.0,0.021629175171256065,0.021240847185254097,0.15452086925506592,125.06040501594543
13,0.0004594705874330093,0.0004573642457170279,2.106341643330433e-06,1.0,0.0,0.0,0.0,0.02159171551465988,0.021178439259529114,0.1574469804763794,123.32381701469421
14,0.00045804405391665414,0.00045596855129371674,2.0755020368989472e-06,1.0,0.0,0.0,0.0,0.021570689976215363,0.021133916452527046,0.15908712148666382,122.16078305244446
